groupe_sanguin;sexe;id_client;usage_vehicule;type_vehicule;date_demande;etat_dossier;formule;Presence_enfant;Tranche_revenus;Index_Personaliser;Tranche_Age_vehicule;Type_conduite_new;Typologie_employeur;Tranche_Age;Points_perdus_new;Enfant_conduite_accompagne_new;Tranche_Resid_Princ;Code_dept;Intervalle_Tarifs_Devis;Niveau_Instruction
O-;F;871024631;Commercial;Sports Car;25/02/2022;complet;dev_integral;Oui;"[120K€; Et plus [";C22-3;De 5 à 9 ans;Urban;Sans précision;20 à 39 ans;Non;Non;Locataire;40;"[300€; 325€[";Licence/Bac+3
AB+;F;7945239;Private;Minivan;24/05/2022;complet;dev_express;Oui;"[40K€; 60K€[";C22-7;De 0 à 4 ans;Urban;Sans précision;80 ans à plus;Oui;Oui;Locataire;03;"[250€; 275€[";Lycée ou après
O-;F;713692930;Private;Pickup;24/01/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-11;De 0 à 4 ans;Rural;Sans précision;40 à 59 ans;Non;Non;Locataire;04;"[250€; 275€[";Lycée ou après
AB-;F;588888550;Private;z_SUV;20/04/2022;complet;dev_integral;Non;"[0; 20K€[";C22-15;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;"[100k€; 150k€[ ";06;"[300€; 325€[";Avant Lycée
B-;M;69165559;Commercial;Panel Truck;23/03/2022;complet;dev_vip;Non;"[0; 20K€[";C22-19;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[200k€; 250k€[";19;"[350€; et plus[";Licence/Bac+3
AB+;F;573751437;Private;z_SUV;23/03/2022;complet;dev_premium;Oui;"[60K€; 80K€[";C22-23;De 15 à 19 ans;Rural;Sans précision;20 à 39 ans;Oui;Non;"[200k€; 250k€[";70;"[350€; et plus[";Licence/Bac+3
O+;F;294816298;Commercial;Minivan;13/03/2022;complet;dev_express;Oui;"[120K€; Et plus [";C22-27;De 5 à 9 ans;Rural;Sans précision;80 ans à plus;Non;Oui;[300k€ à 350k€[;58;"[250€; 275€[";Licence/Bac+3
O+;M;686791659;Private;z_SUV;09/03/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-31;De 10 à 14 ans;Urban;Type S.A;60 à 79 ans;Oui;Non;"[200k€; 250k€[";73;"[325€; 350€[";Licence/Bac+3
B-;M;866093378;Private;Minivan;29/01/2022;complet;dev_premium;Non;"[100K€; 120K€[";C22-35;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Non;Non;[300k€ à 350k€[;30;"[350€; et plus[";Doctorat/Bac+8
O-;F;401200262;Commercial;Panel Truck;26/03/2022;complet;dev_integral;Non;"[0; 20K€[";C22-39;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[250k€; 300k€[";47;"[300€; 325€[";Licence/Bac+3
B-;F;926073051;Private;Minivan;26/05/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-43;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Non;Oui;Locataire;83;"[250€; 275€[";Licence/Bac+3
A-;M;45830738;Private;z_SUV;27/01/2022;complet;dev_premium;Oui;"[20K€; 40K€[";C22-47;De 0 à 4 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[50k€; 100k€[";75;"[350€; et plus[";Lycée ou après
B+;F;429992959;Private;z_SUV;08/05/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-51;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Non;Non;Locataire;23;"[250€; 275€[";Doctorat/Bac+8
AB-;M;46606719;Commercial;Van;02/05/2022;complet;dev_integral;Non;"[0; 20K€[";C22-55;De 5 à 9 ans;Rural;Sans précision;Moins de 20 ans;Oui;Non;Locataire;13;"[300€; 325€[";Lycée ou après
B+;M;389315422;Private;Minivan;15/04/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-59;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Non;Non;"[200k€; 250k€[";68;"[300€; 325€[";Lycée ou après
O+;M;184578161;Private;Minivan;11/05/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-63;De 10 à 14 ans;Urban;Sans précision;80 ans à plus;Non;Non;"[150k€; 200k€[";81;"[275€; 300€[";Master/Bac+5
A+;F;765577228;Private;z_SUV;12/04/2022;complet;dev_integral;Non;"[100K€; 120K€[";C22-67;De 15 à 19 ans;Urban;Type S.A;40 à 59 ans;Non;Non;[300k€ à 350k€[;75;"[300€; 325€[";Master/Bac+5
B-;F;106556153;Commercial;Van;04/03/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-71;De 5 à 9 ans;Urban;Sans précision;80 ans à plus;Oui;Non;Locataire;78;"[275€; 300€[";Licence/Bac+3
AB-;F;351243985;Private;Minivan;05/02/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-75;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[200k€; 250k€[";95;"[250€; 275€[";Licence/Bac+3
AB+;F;243016778;Private;z_SUV;25/04/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-79;De 10 à 14 ans;Urban;Type S.A;80 ans à plus;Non;Non;"[150k€; 200k€[";16;"[275€; 300€[";Licence/Bac+3
AB-;M;411375726;Private;Minivan;20/03/2022;complet;dev_express;Oui;"[60K€; 80K€[";C22-83;De 15 à 19 ans;Rural;Sans précision;20 à 39 ans;Non;Non;"[200k€; 250k€[";02;"[250€; 275€[";Master/Bac+5
A+;M;747049542;Private;Minivan;27/03/2022;complet;dev_premium;Oui;"[20K€; 40K€[";C22-87;De 0 à 4 ans;Urban;Sans précision;80 ans à plus;Oui;Oui;"[100k€; 150k€[ ";69;"[350€; et plus[";Avant Lycée
B-;F;582086109;Commercial;Van;16/05/2022;complet;dev_premium;Non;"[0; 20K€[";C22-91;De 5 à 9 ans;Urban;Sans précision;20 à 39 ans;Non;Non;"[100k€; 150k€[ ";46;"[350€; et plus[";Lycée ou après
O+;F;93412915;Commercial;Sports Car;06/02/2022;complet;dev_premium;Oui;"[40K€; 60K€[";C22-95;De 0 à 4 ans;Urban;Type S.A;80 ans à plus;Oui;Non;"[200k€; 250k€[";33;"[350€; et plus[";Lycée ou après
B-;M;461573915;Commercial;Pickup;27/04/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-99;De 0 à 4 ans;Urban;Type S.A.S;Moins de 20 ans;Oui;Non;"[100k€; 150k€[ ";93;"[250€; 275€[";Avant Lycée
A-;M;931284804;Private;Minivan;13/04/2022;complet;dev_express;Non;"[0; 20K€[";C22-103;De 0 à 4 ans;Rural;Sans précision;60 à 79 ans;Oui;Non;Sans précision;18;"[250€; 275€[";Lycée ou après
O+;F;384628643;Private;Sports Car;22/03/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-107;De 0 à 4 ans;Rural;Sans précision;20 à 39 ans;Non;Non;Locataire;53;"[275€; 300€[";Avant Lycée
A+;F;922808394;Private;z_SUV;22/04/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-111;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[250k€; 300k€[";87;"[275€; 300€[";Master/Bac+5
O-;F;934739805;Private;z_SUV;23/03/2022;complet;dev_vip;Non;"[40K€; 60K€[";C22-115;De 0 à 4 ans;Urban;Type S.A.R.L;40 à 59 ans;Non;Non;"[150k€; 200k€[";95;"[350€; et plus[";Lycée ou après
AB-;F;290532681;Private;z_SUV;12/02/2022;complet;dev_premium;Non;"[100K€; 120K€[";C22-119;De 15 à 19 ans;Urban;Type S.A;Moins de 20 ans;Non;Non;[300k€ à 350k€[;23;"[350€; et plus[";Master/Bac+5
AB+;F;334788395;Private;z_SUV;14/01/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-123;De 0 à 4 ans;Urban;Type S.A.R.L;40 à 59 ans;Non;Non;"[150k€; 200k€[";60;"[250€; 275€[";Lycée ou après
O-;M;645904097;Commercial;Minivan;09/04/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-127;De 5 à 9 ans;Rural;Sans précision;20 à 39 ans;Oui;Non;Locataire;58;"[300€; 325€[";Avant Lycée
B-;F;160311489;Private;z_SUV;23/03/2022;complet;dev_express;Non;"[100K€; 120K€[";C22-131;De 5 à 9 ans;Urban;Type S.A.R.L;60 à 79 ans;Oui;Non;Locataire;70;"[250€; 275€[";Licence/Bac+3
B-;M;944419063;Private;z_SUV;04/02/2022;complet;dev_premium;Non;"[20K€; 40K€[";C22-135;De 5 à 9 ans;Rural;Sans précision;Moins de 20 ans;Oui;Non;"[150k€; 200k€[";49;"[350€; et plus[";Avant Lycée
O+;M;594467420;Private;Sports Car;05/02/2022;complet;dev_express;Oui;"[60K€; 80K€[";C22-139;De 10 à 14 ans;Urban;Type S.A;40 à 59 ans;Non;Oui;"[200k€; 250k€[";02;"[250€; 275€[";Master/Bac+5
AB+;F;999482663;Private;z_SUV;08/02/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-143;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[100k€; 150k€[ ";74;"[300€; 325€[";Licence/Bac+3
AB-;F;125992610;Commercial;Sports Car;06/02/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-147;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[150k€; 200k€[";74;"[250€; 275€[";Licence/Bac+3
O+;F;294957776;Private;z_SUV;09/02/2022;complet;dev_integral;Oui;"[80K€; 100K€[";C22-151;De 10 à 14 ans;Urban;Type S.A;Moins de 20 ans;Oui;Non;[300k€ à 350k€[;93;"[275€; 300€[";Master/Bac+5
B+;F;234108296;Private;Minivan;26/05/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-155;De 15 à 19 ans;Urban;Sans précision;40 à 59 ans;Non;Non;Locataire;25;"[275€; 300€[";Master/Bac+5
O+;M;858966351;Private;z_SUV;04/03/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-159;De 10 à 14 ans;Rural;Sans précision;20 à 39 ans;Oui;Non;"[150k€; 200k€[";88;"[350€; et plus[";Lycée ou après
A-;F;737298009;Private;Sports Car;31/05/2022;complet;dev_express;Oui;"[0; 20K€[";C22-163;De 10 à 14 ans;Urban;Sans précision;Moins de 20 ans;Non;Oui;Locataire;95;"[250€; 275€[";Licence/Bac+3
AB+;F;716232766;Private;z_SUV;30/04/2022;complet;dev_express;Oui;"[0; 20K€[";C22-167;De 5 à 9 ans;Urban;Sans précision;80 ans à plus;Oui;Non;Locataire;83;"[250€; 275€[";Avant Lycée
AB+;M;137443614;Commercial;Pickup;20/03/2022;complet;dev_express;Oui;"[0; 20K€[";C22-171;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Non;Non;Locataire;10;"[250€; 275€[";Licence/Bac+3
AB-;F;417088161;Private;Pickup;02/04/2022;complet;dev_premium;Oui;"[40K€; 60K€[";C22-175;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Non;Oui;"[150k€; 200k€[";58;"[350€; et plus[";Lycée ou après
